id;nome
6;APERITIVOS
52;CARNE – RABO
18;CARNE – BACON
267;CARNE – CARNE SECA
26;CARNE – CONTRA FILE
28;CARNE – COSTELA DE BOI
29;CARNE – COSTELA DE PORCO
31;CARNE – COXA DE FRANGO
290;CARNE – FILE DE FRANGO
34;CARNE – FILE MIGNON
35;CARNE – FRALDAO
255;CARNE – FRANGO
37;CARNE – LAGARTO
40;CARNE – LINGUIÇA CALABRESA
281;CARNE – MASSA CALABRESA
259;CARNE – PATINHO
49;CARNE – PICANHA
42;CARNE – SALSICHA
55;CEASA
61;COPA
62;COPA – AGUA
64;COPA – CAFE
65;COPA – CERVEJAS
67;CO?A – CHOPP
68;COPA – POUPA
69;COPA – REFRIGERANTES
71;COZINHA
72;COZINHA – AÇUCAR
75;COZINHA – ARROZ
77;COZINHA – AZEITES
78;COZINHA – AZEITONAS
79;COZINHA – BATATA
83;COZINHA – CAMPIGNON
264;COZINHA – CREME DE LEITE
266;COZINHA – EMPANADOS
84;COZINHA – FARINHA
85;COZINHA – FEIJÃO
86;COZINHA – LEITE
88;COZINHA – MAIONESE
89;COZINHA – MASSAS
92;COZINHA – ÓLEO
94;COZINHA – PALMITO
95;COZINHA – PAO
96;COZINHA – PEPINO
260;COZINHA – PRESUNTO
271;COZINHA – SAL
99;COZINHA – TOMATE SECO
176;PEIXES – FILÉ DE SALMÃO
196;QUEIJO
203;SOBREMESA
205;SOBREMESA – LEITE CONDENSADO
208;SOBREMESA – SORVETE
